category,scheme,url
Equity Savings Fund,ICICI Pru Equity Savings Fund,https://research-host.example/Recommended/ICICI%20Pru%20Equity%20Savings%20Fund.pdf
Equity Savings Fund,Kotak Equity Savings Fund,https://research-host.example/Recommended/Kotak%20Equity%20Savings%20Fund.pdf
Liquid Fund,Axis Liquid Fund,https://research-host.example/Recommended/Axis%20Liquid%20Fund.pdf
Liquid Fund,Canara Robeco Liquid Fund,https://research-host.example/Recommended/Canara%20Robeco%20Liquid%20Fund.pdf
Liquid Fund,ICICI Pru Liquid Fund,https://research-host.example/Recommended/ICICI%20Pru%20Liquid%20Fund.pdf
Debt - Ultra Short Term,Bandhan Ultra Short Duration Fund,https://research-host.example/Recommended/Bandhan%20Ultra%20Short%20Duration%20Fund.pdf
Debt - Ultra Short Term,PGIM India Ultra Short Duration Fund,https://research-host.example/Recommended/PGIM%20India%20Ultra%20Short%20Duration%20Fund.pdf
Debt - Ultra Short Term,SBI Ultra Short Duration Fund,https://research-host.example/Recommended/SBI%20Ultra%20Short%20Duration%20Fund.pdf
Debt - Short Duration,HDFC Short Term Debt Fund,https://research-host.example/Recommended/HDFC%20Short%20Term%20Debt%20Fund.pdf
Debt - Short Duration,ICICI Pru Short Term Fund,https://research-host.example/Recommended/ICICI%20Pru%20Short%20Term%20Fund.pdf
Dynamic Bond Fund,Aditya Birla SL Dynamic Bond Fund,https://research-host.example/Recommended/Aditya%20Birla%20SL%20Dynamic%20Bond%20Fund.pdf
Dynamic Bond Fund,DSP Strategic Bond Fund,https://research-host.example/Recommended/DSP%20Strategic%20Bond%20Fund.pdf
Dynamic Bond Fund,ICICI Pru All Seasons Bond Fund,https://research-host.example/Recommended/ICICI%20Pru%20All%20Seasons%20Bond%20Fund.pdf
Dynamic Bond Fund,Kotak Dynamic Bond Fund,https://research-host.example/Recommended/Kotak%20Dynamic%20Bond%20Fund.pdf
Dynamic Bond Fund,Nippon India Dynamic Bond Fund,https://research-host.example/Recommended/Nippon%20India%20Dynamic%20Bond%20Fund.pdf
Long Duration Fund,Aditya Birla SL Long Duration Fund,https://research-host.example/Recommended/Aditya%20Birla%20SL%20Long%20Duration%20Fund.pdf
Long Duration Fund,Nippon India Nivesh Lakshya Long Duration Fund,https://research-host.example/Recommended/Nippon%20India%20Nivesh%20Lakshya%20Long%20Duration%20Fund.pdf
Low Duration Fund,Axis Treasury Advantage Fund,https://research-host.example/Recommended/Axis%20Treasury%20Advantage%20Fund.pdf
Low Duration Fund,Bandhan Low Duration Fund,https://research-host.example/Recommended/Bandhan%20Low%20Duration%20Fund.pdf
Low Duration Fund,ICICI Pru Savings Fund,https://research-host.example/Recommended/ICICI%20Pru%20Savings%20Fund.pdf
Medium to Long Duration Fund,HDFC Income Fund,https://research-host.example/Recommended/HDFC%20Income%20Fund.pdf
Medium to Long Duration Fund,ICICI Pru Bond Fund,https://research-host.example/Recommended/ICICI%20Pru%20Bond%20Fund.pdf
Medium Duration Fund,Axis Strategic Bond Fund,https://research-host.example/Recommended/Axis%20Strategic%20Bond%20Fund.pdf
Medium Duration Fund,DSP Bond Fund,https://research-host.example/Recommended/DSP%20Bond%20Fund.pdf
Medium Duration Fund,ICICI Pru Medium Term Bond Fund,https://research-host.example/Recommended/ICICI%20Pru%20Medium%20Term%20Bond%20Fund.pdf
Banking and PSU Fund,Bandhan Banking & PSU Fund,https://research-host.example/Recommended/Bandhan%20Banking%20%26%20PSU%20Fund.pdf
Banking and PSU Fund,ICICI Pru Banking & PSU Debt Fund,https://research-host.example/Recommended/ICICI%20Pru%20Banking%20%26%20PSU%20Debt%20Fund.pdf
Banking and PSU Fund,Kotak Banking & PSU Debt Fund,https://research-host.example/Recommended/Kotak%20Banking%20%26%20PSU%20Debt%20Fund.pdf
GILT Fund,Axis Gilt Fund,https://research-host.example/Recommended/Axis%20Gilt%20Fund.pdf
GILT Fund,ICICI Pru Gilt Fund,https://research-host.example/Recommended/ICICI%20Pru%20Gilt%20Fund.pdf
